Paper,,,,,Datasets Used,Methods,Goal/Objective,,,Performance Eval,,,,Limitations
Title,Performance Eval Category,Performance Eval Subcategory,Misc Tags,Reader,Data Categories,Method,Forecasting Window,Additional Categories,Level,Target,Metrics,Uncertainty?,Uncertainty v2,Broad Categories
‚ÄúStay nearby or get checked‚Äù: A Covid-19 control strategy,not evaluable,not evaluable,,Sonia,cases,compartmental,Long-term,"Scenarios, Interventions","national, regional","cases, RT",NA,no,no,"note factors that were not accounted for in their model, data"
A compartmental epidemic model incorporating probable cases to model COVID-19 outbreak in regions with limited testing capacity,metric-based,evaluate one model,,Sonia,"cases, testing",compartmental,Short-term,,state,cases,RMSE,95% CIs,CIs/PIs,none
A data-driven model to describe and forecast the dynamics of COVID-19 transmission,none,none,,Felix,"cases, deaths",compartmental,Short-term,,national,"cases, deaths",NA,no,no,data
A decision analytic approach for social distancing policies during early stages of COVID-19 pandemic,not evaluable,not evaluable,,Sonia,cases,compartmental,Long-term,"Scenarios, Interventions",regional,"cases, RT, deaths",NA,95% CIs,CIs/PIs,"unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
A fractional-order SEIHDR model for COVID-19 with inter-city networked coupling effects,none,none,,further discussion,cases,compartmental,Short-term,,"national, regional","cases, deaths",NA,no,no,none
A Mass-Conservation Model for Stability Analysis and Finite-Time Estimation of Spread of COVID-19,not evaluable,not evaluable,,Felix,"cases, deaths",compartmental,Long-term,,national,"cases, deaths",NA,no,no,none
A model and predictions for COVID-19 considering population behavior and vaccination,not evaluable,not evaluable,,Felix,cases,compartmental,Long-term,Scenarios,"state, city",cases,NA,no,no,"data, unknown factors that affect covid outcomes"
A modified age-structured SIR model for COVID-19 type viruses,not evaluable,not evaluable,,Felix,demographics,compartmental,Long-term,"Scenarios, Interventions",county,"cases, hospitalizations",NA,no,no,note factors that were not accounted for in their model
A multi-method approach to modeling COVID-19 disease dynamics in the United States,metric-based,evaluate one model,,Felix,"cases, deaths, demographics, hospital resources",hybrid,Short-term,,"state, county",cases,MAE,95% CIs,CIs/PIs,"data, limitations specific to the methods used, note factors that were not accounted for in their model"
A novel compartmental model to capture the nonlinear trend of COVID-19,not evaluable,not evaluable,,Felix,"cases, deaths, demographics",compartmental,Long-term,,state,"cases, deaths",NA,no,no,none
A Novel Intelligent Computational Approach to Model Epidemiological Trends and Assess the Impact of Non-Pharmacological Interventions for COVID-19,not evaluable,not evaluable,,Felix,cases,statistical,Long-term,Interventions,national,cases,NA,95% CIs,CIs/PIs,"data, unknown factors that affect covid outcomes"
A predictive model and country risk assessment for COVID-19: An application of the Limited Failure Population concept,none,none,chaos,Felix,cases,statistical,Short-term,,national,cases,none,no,no,note factors that were not accounted for in their model
A predictive model for Covid-19 spread applied to eight US states,not evaluable,not evaluable,hub preprint,Sonia,"cases, deaths",compartmental,Long-term,"Interventions, Scenarios",state,"cases, deaths",NA,sensitivity analysis,sensitivity analysis,"note factors that were not accounted for in their model, data"
A random forest model for forecasting regional COVID-19 cases utilizing reproduction number estimates and demographic data ,metric-based,compare to hub,hub preprint,Sonia,"cases, rt, demographics, mobility, testing, health risk factors",statistical,Short-term,,county,cases,"MAE, R2",no,no,data
"A seq2seq model to forecast the COVID-19 cases, deaths and reproductive R numbers in US counties ",metric-based,compare to hub,hub preprint,Sonia,"cases, deaths, human behavior, demographics",statistical,Short-term,,county,"cases, deaths, RT","ARE, pearson correlation",no,no,data
A SIR model assumption for the spread of COVID-19 in different communities,not evaluable,not evaluable,chaos,Felix,"cases, deaths",compartmental,Long-term,,national,cases,NA,no,no,none
A SIR-type model describing the successive waves of COVID-19,not evaluable,not evaluable,chaos,Felix,"cases, deaths",compartmental,Long-term,,national,"cases, deaths",NA,no,no,none
A Spatiotemporal Tool to Project Hospital Critical Care Capacity and Mortality From COVID-19 in US Counties,not evaluable,not evaluable,,Felix,"cases, mobility, hospitalizations",compartmental,Long-term,"Scenarios, Interventions",national,cases,NA,no,no,"data, limitations specific to the methods used, note factors that were not accounted for in their model"
Accurate long-range forecasting of COVID-19 mortality in the USA,metric-based,compare to hub,,Felix,"cases, deaths, testing, mobility, climate",statistical,Short-term,,national,"cases, deaths",MAPE,no,no,none
Age-group-targeted testing for COVID-19 as a new prevention strategy,not evaluable,not evaluable,,Felix,"cases, deaths, demographics",compartmental,Long-term,,national,"cases, deaths",NA,no,no,"data, note factors that were not accounted for in their model"
"An Agent-Based Modeling of COVID-19: Validation, Analysis, and Recommendations",not evaluable,not evaluable,,Sonia,"demographics, cases, policy, human behavior",compartmental,Long-term,"Scenarios, Interventions",city,"cases, RT",NA,no,no,none
An epidemiological modelling approach for COVID-19 via data assimilation,not evaluable,not evaluable,,Felix,"cases, deaths",compartmental,Long-term,,national,"cases, deaths",NA,no,no,note factors that were not accounted for in their model
Analysis of transmission dynamics of COVID-19 via closed-form solutions of a susceptible-infectious-quarantined-diseased model with a quarantine-adjusted incidence function,not evaluable,not evaluable,,Felix,cases,compartmental,Long-term,,national,cases,NA,no,no,none
Applicability of time fractional derivative models for simulating the dynamics and mitigation scenarios of COVID-19,not evaluable,not evaluable,chaos,Felix,"cases, deaths",compartmental,Long-term,,national,"cases, deaths",NA,no,no,none
Assessing effects of reopening policies on COVID-19 pandemic in Texas with a data-driven transmission model,not evaluable,not evaluable,,Felix,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",state,cases,NA,no,no,"data, note factors that were not accounted for in their model"
"Association of Simulated COVID-19 Vaccination and Nonpharmaceutical Interventions With Infections, Hospitalizations, and Mortality",not evaluable,not evaluable,,Sonia,"demographics, cases, mobility",hybrid,Long-term,"Scenarios, Interventions",state,"cases, hospitalizations, deaths",NA,no,no,"unknown factors that affect covid outcomes, note factors that were not accounted for in their model, limited generalizability"
Better strategies for containing COVID-19 pandemic: A study of 25 countries via a vSIADR model,not evaluable,not evaluable,,Felix,"cases, deaths, policy",compartmental,Long-term,"Scenarios, Interventions",national,cases,NA,no,no,data
Capping Mobility to Control COVID-19: A Collision-based Infectious Disease Transmission Model,not evaluable,not evaluable,hub preprint,Sonia,"deaths, mobility",statistical,Long-term,,county,"cases, deaths",NA,no,no,"note factors that were not accounted for in their model, data"
Comparative study of machine learning methods for COVID-19 transmission forecasting,metric-based,compare internally,,Sonia,"cases, deaths",statistical,Short-term,,national,cases,"R2, RMSE, MAE, MSLE, EV",no,no,none
Compliance and containment in social distancing: mathematical modeling of COVID-19 across townships,not evaluable,not evaluable,,Felix,cases,compartmental,Long-term,Scenarios,"state, town",cases,NA,no,no,note factors that were not accounted for in their model
Count regression models for COVID-19,metric-based,compare internally,,Felix,cases,statistical,Short-term,,national,cases,"AIC, BIC",95% CIs,CIs/PIs,limited generalizability
COUnty aggRegation mixup AuGmEntation (COURAGE) COVID-19 prediction,metric-based,"compare to hub, compare internally",,Felix,"cases, deaths, mobility, demographics",statistical,Short-term,,county,deaths,MAE,no,no,"note factors that were not accounted for in their model, limitations specific to the methods used"
Covasim: An agent-based model of COVID-19 dynamics and interventions,none,none,,Felix,"cases, deaths, testing, hospitalizations, demographics, human behavior",compartmental,"Short-term, Long-term","Scenarios, Interventions","national, state, county","cases, deaths, hospitalizations, tests",NA,80% CIs,CIs/PIs,"data, limitations specific to the methods used, unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
COVID-19 dynamics across the US: A deep learning study of human mobility and social behavior,metric-based,evaluate one model,,Felix,mobility,hybrid,"Short-term, Long-term",Scenarios,county,cases,MAE,no,no,"data, limitations specific to the methods used, note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
COVID-19 healthcare demand projections: Arizona,not evaluable,not evaluable,,Felix,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",state,"cases, deaths, hospitalizations",NA,no,no,"data, note factors that were not accounted for in their model"
COVID-19 infection data encode a dynamic reproduction number in response to policy decisions with secondary wave implications,none,none,,Felix,cases,compartmental,"Short-term, Long-term",Scenarios,state,cases,NA,no,no,unknown factors that affect covid outcomes
COVID-19 pandemic and Farr's law: A global comparison and prediction of outbreak acceleration and deceleration rates,not evaluable,not evaluable,,Felix,"cases, deaths",statistical,Long-term,,national,"cases, deaths",NA,95% CIs,CIs/PIs,"data, note factors that were not accounted for in their model"
COVID-19: Short term prediction model using daily incidence data,none,none,,Felix,cases,hybrid,Short-term,,"state, county",cases,NA,95% CIs,CIs/PIs,"data, note factors that were not accounted for in their model"
Curbing the COVID-19 pandemic with facility-based isolation of mild cases: a mathematical modeling study,not evaluable,not evaluable,,Felix,"cases, deaths, hospitalizations",compartmental,Long-term,Interventions,"national, regional","cases, deaths",NA,95% CIs,CIs/PIs,"limitations specific to the methods used, note factors that were not accounted for in their model"
Data analysis of Covid-19 pandemic and short-term cumulative case forecasting using machine learning time series methods,metric-based,compare internally,chaos,Felix,cases,statistical,Long-term,,national,cases,"MAE, MAPE, RMSE",no,no,none
Data driven estimation of novel COVID-19 transmission risks through hybrid soft-computing techniques,metric-based,evaluate one model,chaos,Felix,"cases, deaths",statistical,Long-term,,national,"cases, deaths","MAE, MAPE, RMSE, R2",95% CIs,CIs/PIs,none
Data-driven optimized control of the COVID-19 epidemics,not evaluable,not evaluable,,Felix,cases,compartmental,Long-term,"Scenarios, Interventions",city,cases,NA,no,no,"data, note factors that were not accounted for in their model"
Deep learning methods for forecasting COVID-19 time-Series data: A Comparative study,metric-based,compare internally,chaos,Felix,cases,statistical,Short-term,,national,cases,"RMSE, MAPE, MAE, EV, RMSLE",no,no,none
DeepCOVID: An Operational Deep Learning-driven Framework for Explainable Real-time COVID-19 Forecasting,metric-based,compare to hub,hub preprint,Sonia,"cases, deaths, hospitalizations, testing, mobility",statistical,Short-term,,state,"cases, deaths","MAPE, probabilistic interval performance metric used in the COVID-19 Forecast Hub",95% CIs,CIs/PIs,data
DeepGLEAM: A hybrid mechanistic and deep learning model for COVID-19 forecasting,metric-based,compare internally,hub preprint,Sonia,"deaths, mobility",statistical,Short-term,,state,deaths,"MAE, RMSE",multiple CIs,CIs/PIs,none
"Development of an interactive, agent-based local stochastic model of COVID-19 transmission and evaluation of mitigation strategies illustrated for the state of Massachusetts, USA",not evaluable,not evaluable,,Felix,"cases, demographics",statistical,Long-term,"Scenarios, Interventions",zipcode,cases,NA,90% CIs,CIs/PIs,"data, limitations specific to the methods used"
Differential effects of intervention timing on COVID-19 spread in the United States,not evaluable,not evaluable,hub preprint,Sonia,"mobility, cases, deaths",compartmental,Long-term,"Interventions, Scenarios",county,"cases, deaths",NA,95% CIs,CIs/PIs,"unknown factors that affect covid outcomes, note factors that were not accounted for in their model"
Dynamics identification and forecasting of COVID-19 by switching Kalman filters,none,none,,Felix,cases,statistical,Short-term,,"national, state",cases,NA,95% CIs,CIs/PIs,limitations specific to the methods used
Effect of mitigation measures on the spreading of COVID-19 in hard-hit states in the U.S.,not evaluable,not evaluable,,Felix,"cases, deaths",compartmental,Long-term,"Scenarios, Interventions",state,"cases, deaths",NA,no,no,"data, note factors that were not accounted for in their model, limitations specific to the methods used"
"Effects of COVID-19 vaccination timing and risk prioritization on mortality rates, United States",not evaluable,not evaluable,,Felix,"mobility, cases, hospitalizations, demographics",compartmental,Long-term,"Scenarios, Interventions",city,"cases, deaths, hospitalizations",NA,"sensitivity analysis, 95% CIs","sensitivity analysis, CIs/PIs","data, limitations specific to the methods used, note factors that were not accounted for in their model"
Effects of short-term travel on COVID-19 spread: A novel SEIR model and case study in Minnesota,not evaluable,not evaluable,,Felix,"cases, mobility ",compartmental,Long-term,Scenarios,"state, county",cases,NA,no,no,"data, limitations specific to the methods used, note factors that were not accounted for in their model"
EpiCovDA: a mechanistic COVID-19 forecasting model with data assimilation ,metric-based,compare to hub,hub preprint,Sonia,"cases, deaths",statistical,Short-term,,state,"cases, deaths","AE, interval scoring method (CI's that are too wide), MAE, MedAE",95% CIs,CIs/PIs,none
Epidemic Model Guided Machine Learning for COVID-19 Forecasts in the United States,none,none,hub preprint,Felix,"cases, deaths",compartmental,Short-term,,"national, state","cases, deaths",NA,95% CIs,CIs/PIs,"data, note factors that were not accounted for in their model, unknown factors that affect covid outcomes"
Estimation of COVID-19 spread curves integrating global data and borrowing information,metric-based,compare internally,,Kristen,"cases, demographics",statistical,Long-term,,national,cases,MSE,no,no,note factors that were not accounted for in their model
Estimation of undetected symptomatic and asymptomatic cases of COVID-19 infection and prediction of its spread in the USA,not evaluable,not evaluable,,Kristen,"cases, deaths, testing, hospitalizations",compartmental,Long-term,"Interventions, Scenarios",national,"cases, deaths, peak cases, total deaths",NA,no,no,none
Evaluating Scenarios for School Reopening under COVID19,not evaluable,not evaluable,hub preprint,Felix,"cases, demographics",statistical,Long-term,"Interventions, Scenarios",state,"cases, deaths",NA,no,no,note factors that were not accounted for in their model
Evaluating short-term forecasting of COVID-19 cases among different epidemiological models under a Bayesian framework,metric-based,compare internally,,Kristen,cases ,statistical,Short-term,,national,cases,sMAPE,95% CIs,CIs/PIs,"limitations specific to the methods used, unknown factors that affect covid outcomes"
Evaluating the impact of mobility on COVID-19 pandemic with machine learning hybrid predictions,metric-based,evaluate one model,,Kristen,"cases, demographics, climate, mobility, policy",statistical ,Short-term,,county,cases,bias of mean predicted values,95% CIs,CIs/PIs,data
Evaluation of COVID-19 vaccination strategies with a delayed second dose,not evaluable,not evaluable,,Kristen,"demographics, hospitalizations, health risk factors, vaccination",compartmental,Long-term,"Scenarios, Interventions",national,"cases, hospitalizations, deaths",NA,no,no,"data, unknown factors that affect covid outcomes"
EVDHM-ARIMA-Based Time Series Forecasting Model and Its Application for COVID-19 Cases,metric-based,evaluate one model,,Felix,cases,statistical,Long-term,,national,cases,RMSE,95% CIs,CIs/PIs,none
