title,doi
A compartmental epidemic model incorporating probable cases to model COVID-19 outbreak in regions with limited testing capacity,10.1016/j.isatra.2021.01.029
A data-driven model to describe and forecast the dynamics of COVID-19 transmission,10.1371/journal.pone.0236386
A decision analytic approach for social distancing policies during early stages of COVID-19 pandemic,10.1016/j.dss.2021.113630
A fractional-order SEIHDR model for COVID-19 with inter-city networked coupling effects,10.1007/s11071-020-05848-4
A Mass-Conservation Model for Stability Analysis and Finite-Time Estimation of Spread of COVID-19,10.1109/TCSS.2021.3050476
A model and predictions for COVID-19 considering population behavior and vaccination,10.1038/s41598-021-91514-7
A modified age-structured SIR model for COVID-19 type viruses,10.1038/s41598-021-94609-3
A multi-method approach to modeling COVID-19 disease dynamics in the United States,10.1038/s41598-021-92000-w
A novel compartmental model to capture the nonlinear trend of COVID-19,10.1016/j.compbiomed.2021.104421
A Novel Intelligent Computational Approach to Model Epidemiological Trends and Assess the Impact of Non-Pharmacological Interventions for COVID-19,10.1109/JBHI.2020.3027987
A predictive model and country risk assessment for COVID-19: An application of the Limited Failure Population concept,10.1016/j.chaos.2020.110240
A predictive model for Covid-19 spread applied to eight US states,arxiv:2006.05955
A random forest model for forecasting regional COVID-19 cases utilizing reproduction number estimates and demographic data,10.1101/2021.05.23.21257689
"A seq2seq model to forecast the COVID-19 cases, deaths and reproductive R numbers in US counties",10.1101/2021.04.14.21255507
A SIR model assumption for the spread of COVID-19 in different communities,10.1016/j.chaos.2020.110057
A SIR-type model describing the successive waves of COVID-19,10.1016/j.chaos.2021.110682
A Spatiotemporal Tool to Project Hospital Critical Care Capacity and Mortality From COVID-19 in US Counties,10.2105/AJPH.2021.306220
Accurate long-range forecasting of COVID-19 mortality in the USA,10.1038/s41598-021-91365-2
Age-group-targeted testing for COVID-19 as a new prevention strategy,10.1007/s11071-020-05879-x
"An Agent-Based Modeling of COVID-19: Validation, Analysis, and Recommendations",10.1007/s12559-020-09801-w
An epidemiological modelling approach for COVID-19 via data assimilation,10.1007/s10654-020-00676-7
Analysis of transmission dynamics of COVID-19 via closed-form solutions of a susceptible-infectious-quarantined-diseased model with a quarantine-adjusted incidence function,10.1002/mma.7481
Applicability of time fractional derivative models for simulating the dynamics and mitigation scenarios of COVID-19,10.1016/j.chaos.2020.109959
Assessing effects of reopening policies on COVID-19 pandemic in Texas with a data-driven transmission model,10.1016/j.idm.2021.02.001
"Association of Simulated COVID-19 Vaccination and Nonpharmaceutical Interventions With Infections, Hospitalizations, and Mortality",10.1001/jamanetworkopen.2021.10782
Better strategies for containing COVID-19 pandemic: A study of 25 countries via a vSIADR model,10.1098/rspa.2020.0440
Capping Mobility to Control COVID-19: A Collision-based Infectious Disease Transmission Model,10.1101/2020.07.25.20162016
Comparative study of machine learning methods for COVID-19 transmission forecasting,10.1016/j.jbi.2021.103791
Compliance and containment in social distancing: mathematical modeling of COVID-19 across townships,10.1080/13658816.2021.1873999
Count regression models for COVID-19,10.1016/j.physa.2020.125460
COUnty aggRegation mixup AuGmEntation (COURAGE) COVID-19 prediction,10.1038/s41598-021-93545-6
Covasim: An agent-based model of COVID-19 dynamics and interventions,10.1371/journal.pcbi.1009149
COVID-19 dynamics across the US: A deep learning study of human mobility and social behavior,10.1016/j.cma.2021.113891
COVID-19 healthcare demand projections: Arizona,10.1371/journal.pone.0242588
COVID-19 infection data encode a dynamic reproduction number in response to policy decisions with secondary wave implications,10.1038/s41598-021-90227-1
COVID-19 pandemic and Farr's law: A global comparison and prediction of outbreak acceleration and deceleration rates,10.1371/journal.pone.0239175
