source_title,Category
Journal of Finance,Accounting
Journal of Financial Economics,Accounting
Review of Financial Studies,Accounting
Journal of Technology Transfer,Accounting
Journal of Accounting and Economics,Accounting
Journal of Accounting Research,Accounting
British Accounting Review,Accounting
Journal of Accounting Literature,Accounting
Ultrasonics Sonochemistry,Acoustics and Ultrasonics
IEEE/ACM Transactions on Audio Speech and Language Processing,Acoustics and Ultrasonics
Journal of Sound and Vibration,Acoustics and Ultrasonics
Ultrasonics,Acoustics and Ultrasonics
Methods of Information in Medicine,Advanced and Specialized Nursing
Diabetes Care,Advanced and Specialized Nursing
Stroke,Advanced and Specialized Nursing
International Journal of MS Care,Advanced and Specialized Nursing
Journal of Cardiovascular Nursing,Advanced and Specialized Nursing
Experimental Thermal and Fluid Science,Aerospace Engineering
International Journal of Robust and Nonlinear Control,Aerospace Engineering
Progress in Aerospace Sciences,Aerospace Engineering
IEEE Transactions on Aerospace and Electronic Systems,Aerospace Engineering
Aerospace Science and Technology,Aerospace Engineering
JVC/Journal of Vibration and Control,Aerospace Engineering
Drones,Aerospace Engineering
Aging Cell,Aging
Studies in Mycology,Agricultural and Biological Sciences (miscellaneous)
Astrobiology,Agricultural and Biological Sciences (miscellaneous)
IMA Fungus,Agricultural and Biological Sciences (miscellaneous)
npj Microgravity,Agricultural and Biological Sciences (miscellaneous)
Applied Soil Ecology,Agricultural and Biological Sciences (miscellaneous)
American Journal of Agricultural Economics,Agricultural and Biological Sciences (miscellaneous)
Environmental Microbiology Reports,Agricultural and Biological Sciences (miscellaneous)
Plant Biotechnology Journal,Agronomy and Crop Science
Agronomy for Sustainable Development,Agronomy and Crop Science
Field Crops Research,Agronomy and Crop Science
Biology and Fertility of Soils,Agronomy and Crop Science
Molecular Plant Pathology,Agronomy and Crop Science
Journal of Pest Science,Agronomy and Crop Science
European Journal of Agronomy,Agronomy and Crop Science
Theoretical And Applied Genetics,Agronomy and Crop Science
Industrial Crops and Products,Agronomy and Crop Science
Biosystems Engineering,Agronomy and Crop Science
Algal Research,Agronomy and Crop Science
GM crops & food,Agronomy and Crop Science
Rice,Agronomy and Crop Science
Journal of Plant Physiology,Agronomy and Crop Science
"Forum of Mathematics, Pi",Algebra and Number Theory
Mathematics of Computation,Algebra and Number Theory
Advances in Difference Equations,Algebra and Number Theory
SIAM Journal on Applied Algebra and Geometry,Algebra and Number Theory
Journal of Differential Geometry,Algebra and Number Theory
Communications in Number Theory and Physics,Algebra and Number Theory
Discrete Analysis,Algebra and Number Theory
Numerical Linear Algebra with Applications,Algebra and Number Theory
Boundary Value Problems,Algebra and Number Theory
Calcolo,Algebra and Number Theory
Fundamenta Informaticae,Algebra and Number Theory
Nonlinear Analysis: Hybrid Systems,Analysis
Finite Elements in Analysis and Design,Analysis
Engineering Analysis with Boundary Elements,Analysis
Fractional Calculus and Applied Analysis,Analysis
Foundations of Computational Mathematics,Analysis
Advances in Nonlinear Analysis,Analysis
Nonlinear Analysis: Modelling and Control,Analysis
Information and Inference,Analysis
Advances in Calculus of Variations,Analysis
SIAM Journal on Applied Dynamical Systems,Analysis
Mass Spectrometry Reviews,Analytical Chemistry
Progress in Nuclear Magnetic Resonance Spectroscopy,Analytical Chemistry
TrAC - Trends in Analytical Chemistry,Analytical Chemistry
Current Opinion in Chemical Biology,Analytical Chemistry
Annual Review of Analytical Chemistry,Analytical Chemistry
Analytical Chemistry,Analytical Chemistry
Separation and Purification Reviews,Analytical Chemistry
Current Opinion in Electrochemistry,Analytical Chemistry
Separation and Purification Technology,Analytical Chemistry
Talanta,Analytical Chemistry
Human Brain Mapping,Anatomy
British Journal of Anaesthesia,Anesthesiology and Pain Medicine
Anaesthesia,Anesthesiology and Pain Medicine
Anesthesiology,Anesthesiology and Pain Medicine
Journal of Pain,Anesthesiology and Pain Medicine
Regional Anesthesia and Pain Medicine,Anesthesiology and Pain Medicine
Journal of Headache and Pain,Anesthesiology and Pain Medicine
Seminars in Arthritis and Rheumatism,Anesthesiology and Pain Medicine
Palliative Medicine,Anesthesiology and Pain Medicine
Anesthesia and Analgesia,Anesthesiology and Pain Medicine
Journal of Clinical Anesthesia,Anesthesiology and Pain Medicine
Pain Physician,Anesthesiology and Pain Medicine
Annual Review of Animal Biosciences,Animal Science and Zoology
Information Processing in Agriculture,Animal Science and Zoology
Agricultural Systems,Animal Science and Zoology
"Agriculture, Ecosystems and Environment",Animal Science and Zoology
Animal Nutrition,Animal Science and Zoology
Journal of Animal Science and Biotechnology,Animal Science and Zoology
Genetics Selection Evolution,Animal Science and Zoology
Journal of Animal Ecology,Animal Science and Zoology
Mammal Review,Animal Science and Zoology
Journal of Dairy Science,Animal Science and Zoology
ILAR Journal,Animal Science and Zoology
Animal Health Research Reviews,Animal Science and Zoology
Current Zoology,Animal Science and Zoology
NJAS - Wageningen Journal of Life Sciences,Animal Science and Zoology
World's Poultry Science Journal,Animal Science and Zoology
Zoologica Scripta,Animal Science and Zoology
Metabarcoding and Metagenomics,Animal Science and Zoology
Parasitology,Animal Science and Zoology
EXCLI Journal,Animal Science and Zoology
Frontiers in Zoology,Animal Science and Zoology
Zoological Journal of the Linnean Society,Animal Science and Zoology
Animal Behaviour,Animal Science and Zoology
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,Animal Science and Zoology
Integrative and Comparative Biology,Animal Science and Zoology
General and Comparative Endocrinology,Animal Science and Zoology
Animal,Animal Science and Zoology
Foodborne Pathogens and Disease,Animal Science and Zoology
Animal Feed Science and Technology,Animal Science and Zoology
Zoological research,Animal Science and Zoology
Behavioral Ecology,Animal Science and Zoology
International Journal of Primatology,Animal Science and Zoology
Animal Genetics,Animal Science and Zoology
Auk,Animal Science and Zoology
Avian Conservation and Ecology,Animal Science and Zoology
Behavioral Ecology and Sociobiology,Animal Science and Zoology
Current protocols in mouse biology,Animal Science and Zoology
Poultry Science,Animal Science and Zoology
Journal of Consumer Research,Anthropology
Journal of Human Evolution,Anthropology
Cultural Anthropology,Anthropology
Journal of Marriage and Family,Anthropology
Human Nature,Anthropology
Cross-Cultural Research,Anthropology
Archaeological and Anthropological Sciences,Anthropology
Anthropological Theory,Anthropology
American Journal of Human Biology,Anthropology
Journal of Ethnic Foods,Anthropology
"Culture, Medicine and Psychiatry",Anthropology
Human Ecology,Anthropology
Journal of the Royal Anthropological Institute,Anthropology
Journal of Physiological Anthropology,Anthropology
Consumption Markets and Culture,Anthropology
Forensic Sciences Research,Anthropology
Environment and Society: Advances in Research,Anthropology
American Journal of Physical Anthropology,Anthropology
Journal of racial and ethnic health disparities,Anthropology
Human Communication Research,Anthropology
Social Networks,Anthropology
The Journal of Black Psychology,Anthropology
Personal Relationships,Anthropology
Evolutionary Anthropology,Anthropology
Field Methods,Anthropology
American Ethnologist,Anthropology
Journal of Anthropological Sciences,Anthropology
Medical Anthropology Quarterly,Anthropology
"Journal of Race, Ethnicity and Politics",Anthropology
Qualitative Inquiry,Anthropology
Molecular Systems Biology,Applied Mathematics
Biology Direct,Applied Mathematics
Engineered Science,Applied Mathematics
npj Systems Biology and Applications,Applied Mathematics
European Journal of Remote Sensing,Applied Mathematics
IEEE/ACM Transactions on Computational Biology and Bioinformatics,Applied Mathematics
BMC Systems Biology,Applied Mathematics
Digital Signal Processing: A Review Journal,Applied Mathematics
"Journal of Guidance, Control, and Dynamics",Applied Mathematics
Current Opinion in Systems Biology,Applied Mathematics
BMC Bioinformatics,Applied Mathematics
IEEE Signal Processing Magazine,Applied Mathematics
IEEE Transactions on Wireless Communications,Applied Mathematics
IEEE Transactions on Vehicular Technology,Applied Mathematics
ISA Transactions,Applied Mathematics
IEEE Signal Processing Letters,Applied Mathematics
Control Engineering Practice,Applied Mathematics
Journal of the Franklin Institute,Applied Mathematics
Journal of Intelligent Transportation Systems,Applied Mathematics
International Journal of Solids and Structures,Applied Mathematics
Nano Communication Networks,Applied Mathematics
International Journal for Numerical Methods in Engineering,Applied Mathematics
International Journal of Automation and Computing,Applied Mathematics
International Journal of Numerical Methods for Heat and Fluid Flow,Applied Mathematics
Theoretical and Applied Fracture Mechanics,Applied Mathematics
IEEE Transactions on Pattern Analysis and Machine Intelligence,Applied Mathematics
SIAM Review,Applied Mathematics
Archives of Computational Methods in Engineering,Applied Mathematics
Infectious Disease Modelling,Applied Mathematics
Communications in Nonlinear Science and Numerical Simulation,Applied Mathematics
Applied Mathematical Modelling,Applied Mathematics
Network Neuroscience,Applied Mathematics
International Journal of Approximate Reasoning,Applied Mathematics
Applied Mathematics and Computation,Applied Mathematics
Applied Mathematics Letters,Applied Mathematics
Mathematical Models and Methods in Applied Sciences,Applied Mathematics
Journal of Computational Physics,Applied Mathematics
Applied and Computational Harmonic Analysis,Applied Mathematics
Studies in Applied Mathematics,Applied Mathematics
Informatica,Applied Mathematics
Metabolic Engineering,Applied Microbiology and Biotechnology
Critical Reviews in Biotechnology,Applied Microbiology and Biotechnology
npj Biofilms and Microbiomes,Applied Microbiology and Biotechnology
Critical Reviews in Microbiology,Applied Microbiology and Biotechnology
Annual Review of Organizational Psychology and Organizational Behavior,Applied Psychology
International Review of Sport and Exercise Psychology,Applied Psychology
Journal of Applied Psychology,Applied Psychology
Human-Computer Interaction,Applied Psychology
Work and Stress,Applied Psychology
Fish and Fisheries,Aquatic Science
Reviews in Aquaculture,Aquatic Science
Reviews in Fish Biology and Fisheries,Aquatic Science
Aquatic Toxicology,Aquatic Science
Marine Pollution Bulletin,Aquatic Science
Limnology and Oceanography,Aquatic Science
Reviews in Fisheries Science and Aquaculture,Aquatic Science
Harmful Algae,Aquatic Science
Fish and Shellfish Immunology,Aquatic Science
Progress in Oceanography,Aquatic Science
Freshwater Biology,Aquatic Science
Coral Reefs,Aquatic Science
ICES Journal of Marine Science,Aquatic Science
Aquaculture,Aquatic Science
Ecohydrology,Aquatic Science
Algae,Aquatic Science
Marine Biotechnology,Aquatic Science
Marine Environmental Research,Aquatic Science
Journal of Agrarian Change,Archeology
Virtual Archaeology Review,Archeology
Digital Applications in Archaeology and Cultural Heritage,Archeology
Journal of Social Archaeology,Archeology
Frontiers of Architectural Research,Archeology
Quaternary Science Reviews,Archeology (arts and humanities)
Current Anthropology,Archeology (arts and humanities)
Journal of Archaeological Method and Theory,Archeology (arts and humanities)
Journal of World Prehistory,Archeology (arts and humanities)
Journal of Archaeological Science,Archeology (arts and humanities)
Boreas,Archeology (arts and humanities)
Holocene,Archeology (arts and humanities)
Vegetation History and Archaeobotany,Archeology (arts and humanities)
Radiocarbon,Archeology (arts and humanities)
World Archaeology,Archeology (arts and humanities)
Environmental Archaeology,Archeology (arts and humanities)
Geoarchaeology - An International Journal,Archeology (arts and humanities)
Journal of Field Archaeology,Archeology (arts and humanities)
Science and Technology of Archaeological Research,Archeology (arts and humanities)
Norwegian Archaeological Review,Archeology (arts and humanities)
European Journal of Archaeology,Archeology (arts and humanities)
Journal of Archaeological Science: Reports,Archeology (arts and humanities)
African Archaeological Review,Archeology (arts and humanities)
International Journal of Paleopathology,Archeology (arts and humanities)
Design Studies,Architecture
"Engineering, Construction and Architectural Management",Architecture
Architectural Engineering and Design Management,Architecture
"Research in Engineering Design - Theory, Applications, and Concurrent Engineering",Architecture
Journal of Building Performance Simulation,Architecture
Journal of Building Engineering,Architecture
Environment and Planning B: Urban Analytics and City Science,Architecture
Buildings,Architecture
Glass Structures and Engineering,Architecture
Structural Design of Tall and Special Buildings,Architecture
Construction Innovation,Architecture
Curved and Layered Structures,Architecture
IEEE Computational Intelligence Magazine,Artificial Intelligence
Computers in Human Behavior,Arts and Humanities (miscellaneous)
Decision Support Systems,Arts and Humanities (miscellaneous)
Neural Computation,Arts and Humanities (miscellaneous)
Psychonomic Bulletin and Review,Arts and Humanities (miscellaneous)
Evolution and Human Behavior,Arts and Humanities (miscellaneous)
European Psychologist,Arts and Humanities (miscellaneous)
Archives of Sexual Behavior,Arts and Humanities (miscellaneous)
Intelligence,Arts and Humanities (miscellaneous)
Journal of Experimental Psychology: Human Perception and Performance,Arts and Humanities (miscellaneous)
Applied Psychology,Arts and Humanities (miscellaneous)
"Psychology and Psychotherapy: Theory, Research and Practice",Arts and Humanities (miscellaneous)
Group and Organization Management,Arts and Humanities (miscellaneous)
Behavior Modification,Arts and Humanities (miscellaneous)
Blood Pressure Monitoring,Assessment and Diagnosis
Nature Astronomy,Astronomy and Astrophysics
Bulletin of the American Meteorological Society,Atmospheric Science
Current Climate Change Reports,Atmospheric Science
Atmospheric Chemistry and Physics,Atmospheric Science
Journal of Climate,Atmospheric Science
npj Climate and Atmospheric Science,Atmospheric Science
Atmospheric Research,Atmospheric Science
Nanophotonics,"Atomic and Molecular Physics, and Optics"
Solar RRL,"Atomic and Molecular Physics, and Optics"
Nature Photonics,"Atomic and Molecular Physics, and Optics"
Light: Science and Applications,"Atomic and Molecular Physics, and Optics"
Optica,"Atomic and Molecular Physics, and Optics"
Advanced Optical Materials,"Atomic and Molecular Physics, and Optics"
Photonics Research,"Atomic and Molecular Physics, and Optics"
Advances in Optics and Photonics,"Atomic and Molecular Physics, and Optics"
Journal of Lightwave Technology,"Atomic and Molecular Physics, and Optics"
IEEE Vehicular Technology Magazine,Automotive Engineering
Vehicular Communications,Automotive Engineering
IEEE Transactions on Transportation Electrification,Automotive Engineering
eTransportation,Automotive Engineering
"Brain, Behavior, and Immunity",Behavioral Neuroscience
Neurobiology of Sleep and Circadian Rhythms,Behavioral Neuroscience
Neuroscience and Biobehavioral Reviews,Behavioral Neuroscience
Current Topics in Behavioral Neurosciences,Behavioral Neuroscience
Annual Review of Biochemistry,Biochemistry
Nature Catalysis,Biochemistry
Journal of the American Chemical Society,Biochemistry
Trends in Biochemical Sciences,Biochemistry
Progress in Lipid Research,Biochemistry
Blood,Biochemistry
Wiley interdisciplinary reviews. RNA,Biochemistry
Biomolecular Detection and Quantification,Biochemistry
Critical Reviews in Biochemistry and Molecular Biology,Biochemistry
Cell Discovery,Biochemistry
Stem Cell Reports,Biochemistry
Free Radical Biology and Medicine,Biochemistry
Essays in Biochemistry,Biochemistry
EMBO Reports,Biochemistry
Science Signaling,Biochemistry
International Journal of Tryptophan Research,Biochemistry
Molecular and Cellular Proteomics,Biochemistry
Chem,Biochemistry (medical)
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
ACS Synthetic Biology,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
Stem Cell Research and Therapy,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
Biological Psychiatry,Biological Psychiatry
Small,Biomaterials
Acta Biomaterialia,Biomaterials
Biofabrication,Biomaterials
Materials Science and Engineering C,Biomaterials
Current Opinion in Biotechnology,Biomedical Engineering
Bioactive Materials,Biomedical Engineering
